,file,dsize,valid,acc,error_rate,bacc,prec,recall,f1
23,ourscocktail-diabetes-cv3-e128-s16-mistral-7b,154,1.0,0.6168831168831169,0.3831168831168831,0.6624074074074073,0.4731182795698925,0.8148148148148148,0.5986394557823129
24,ourscocktail-diabetes-cv4-e128-s16-mistral-7b,154,1.0,0.6298701298701299,0.3701298701298701,0.6709853692931429,0.5196078431372549,0.8688524590163934,0.6503067484662577
25,ourscocktail-heart-cv0-e128-s16-mistral-7b,183,0.9890710382513661,0.6850828729281768,0.3149171270718232,0.6384449518011162,0.6834532374100719,0.8796296296296297,0.7692307692307693
26,ourscocktail-heart-cv1-e128-s16-mistral-7b,184,1.0,0.6195652173913043,0.3804347826086957,0.559748427672956,0.608433734939759,0.9528301886792453,0.7426470588235294
27,ourscocktail-heart-cv2-e128-s16-mistral-7b,183,1.0,0.5846994535519126,0.41530054644808745,0.5544578313253012,0.5789473684210527,0.88,0.6984126984126984
28,ourscocktail-heart-cv3-e128-s16-mistral-7b,184,1.0,0.592391304347826,0.40760869565217395,0.5842789598108747,0.5590062111801242,0.9574468085106383,0.7058823529411765
29,ourscocktail-heart-cv4-e128-s16-mistral-7b,184,1.0,0.7228260869565217,0.27717391304347827,0.7021428571428572,0.6762589928057554,0.94,0.7866108786610879
30,ourscocktail-income-cv0-e128-s16-mistral-7b,1000,0.981,0.709480122324159,0.290519877675841,0.7374817763821913,0.44835680751173707,0.7925311203319502,0.5727136431784108
31,ourscocktail-income-cv1-e128-s16-mistral-7b,1000,0.99,0.692929292929293,0.30707070707070705,0.730263504072123,0.4073226544622426,0.7982062780269058,0.5393939393939394
32,ourscocktail-income-cv2-e128-s16-mistral-7b,1000,0.986,0.7068965517241379,0.2931034482758621,0.7221352083888741,0.44282238442822386,0.7520661157024794,0.557427258805513
33,ourscocktail-income-cv3-e128-s16-mistral-7b,1000,0.986,0.7768762677484787,0.22312373225152127,0.7537619699042408,0.5538461538461539,0.7058823529411765,0.6206896551724138
34,ourscocktail-income-cv4-e128-s16-mistral-7b,1000,0.997,0.7833500501504513,0.21664994984954866,0.71524467472654,0.5175097276264592,0.5911111111111111,0.5518672199170125
35,ourscocktail-jungle-cv0-e128-s16-mistral-7b,1000,0.991,0.6064581231079718,0.39354187689202824,0.6073340013196803,0.5772113943028486,0.7809330628803245,0.6637931034482759
36,ourscocktail-jungle-cv1-e128-s16-mistral-7b,1000,1.0,0.609,0.391,0.6119566609051917,0.5739385065885798,0.7967479674796748,0.6672340425531915
37,ourscocktail-jungle-cv2-e128-s16-mistral-7b,1000,0.997,0.6198595787362087,0.38014042126379133,0.6150964287152232,0.5926449787835927,0.8215686274509804,0.6885784716516024
38,ourscocktail-jungle-cv3-e128-s16-mistral-7b,1000,0.98,0.5897959183673469,0.4102040816326531,0.5843253968253969,0.575,0.7757936507936508,0.660472972972973
39,ourscocktail-jungle-cv4-e128-s16-mistral-7b,1000,1.0,0.573,0.42700000000000005,0.5727091633466135,0.5654450261780105,0.6454183266932271,0.6027906976744186
